Ruta,OperadOR,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,summary,Año_colision,mes_colision,OperadOR Militar,OperadOR no Militar,crashed,failure,weather,other,nuevo_id
"Bedford, England",By Air,Armstrong-Whitworth F-K-8,1,0,1,1,0,1,0,The plane crashed during a cargo flight under unknown circumstances.,1920,8,0,1,1,0,0,0,4672
"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",1920,8,0,1,1,0,0,0,4671
"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,2,0,2,2,0,2,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",1920,9,0,1,1,0,0,0,4670
"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,1920,9,0,1,1,0,0,0,4669
"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,2,1,1,2,1,1,0,Crashed into the Mediterranean while on a mail flight.,1920,10,0,1,1,0,0,0,4668
"Valencia, Spain",Latecoere Airlines,Breguet 14,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.,1920,10,0,1,1,0,0,0,4667
"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,1920,10,0,1,1,0,0,0,4666
"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.,1920,11,0,1,1,0,1,0,4665
"London, England",Handley Page Transport,Handley Page HP-16,8,6,2,4,2,2,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,1920,12,0,1,1,0,0,0,4664
"Barcelona, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,The aircraft stalled and crashed when an engine failed.,1920,12,0,1,1,0,0,0,4663
"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,1921,2,0,1,1,0,0,0,4662
"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,3,0,3,3,0,3,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,1921,2,0,1,1,0,0,0,4661
Off Gibraltar,Aeropostale,Breguet 14,2,0,2,2,0,2,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,1921,2,0,1,1,0,1,0,4660
"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"Shortly after taking off, the aircraft stalled and crashed .",1921,2,0,1,1,0,0,0,4659
"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,After taking off the aircraft stalled and crashed.,1921,4,0,1,1,0,0,0,4658
"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",1921,4,0,1,1,0,1,0,4657
"Rock Springs, Wyoming",US Aerial Mail Service,"De Havilland DH-4
De Havilland DH-4",1,0,1,1,0,1,0,Crashed while attempting to land.,1921,5,0,1,1,0,0,0,4656
"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),49,0,49,43,0,43,1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude.",1921,8,1,0,1,1,0,0,4655
"Paris, France",Franco-Roumaine,Potez IX,5,4,1,5,4,1,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,1921,9,0,1,1,0,0,0,4654
"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,2,0,2,2,0,2,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,1921,12,0,1,1,0,0,0,4653
"Paris, France",Handley Page Transport,Handley Page O/10,5,4,1,5,4,1,5,Crashed at Le Bourget field.,1922,1,0,1,1,0,0,0,4652
North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),6,5,1,5,5,0,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",1922,3,0,1,0,0,0,1,4651
"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",1922,4,0,1,0,0,1,0,4650
"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,3,2,1,3,2,1,0,Went down into the English Channel while en route.,1922,6,0,1,0,0,0,1,4649
"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,5,4,1,5,4,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,1922,7,0,1,1,0,0,0,4648
"Cadix, Spain",Grands Express Aeriens,Breguet 14,3,2,1,3,2,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",1922,7,0,1,1,0,0,0,4647
"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The plane stalled shortly after takeoff and crashed.,1922,9,0,1,1,0,0,0,4646
"Venice, Italy",de Havilland Air Service,de Havilland DH-9,4,3,1,4,3,1,0,Shortly after taking off the plane crashed into the sea and sank.,1922,10,0,1,1,0,0,0,4645
"Larache, Morocco",Grands Express Aeriens,Breguet 14,2,1,1,2,1,1,0,Crashed under unknown circumstances.,1922,10,0,1,1,0,0,0,4644
"Fez, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,1922,12,0,1,1,0,0,0,4643
"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,4,2,2,3,1,2,0,The plane crashed mid-air due to a structural failure of the tail.,1923,1,0,1,1,1,0,0,4642
"Barcelona, Spain",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.,1923,1,0,1,1,0,0,0,4641
"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed during a mail flight.,1923,1,0,1,1,0,0,0,4640
"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,1923,2,0,1,0,0,1,0,4639
"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",1923,5,0,1,0,1,0,0,4638
"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,11,9,2,1,1,0,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed.",1923,8,0,1,1,0,0,0,4637
"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,2,1,1,2,1,1,0,Crashed while on approach to Bucharesst.,1923,8,0,1,1,0,0,0,4636
"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed during an emergency landing attempt.,1923,9,0,1,1,0,0,0,4635
"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,5,3,2,5,3,2,0,Crashed while attempting a forced landing after encountering heavy rain.,1923,9,0,1,1,0,0,0,4634
Russia,CCCP,Junkers F-13,5,2,3,3,1,2,0,Crashed during a training flight.,1923,11,0,1,1,0,0,0,4633
"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed under unknown circumstances.,1923,12,0,1,1,0,0,0,4632
"Egbert, WY",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.,1923,12,0,1,1,0,1,0,4631
"Grampian, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed during a snowstorm.,1924,3,0,1,1,0,0,0,4630
Over the English Channel,KLM Royal Dutch Airlines,Fokker F.III,3,2,1,3,2,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.,1924,4,0,1,0,0,0,1,4629
"Barranquilla, Colombia",SCADTA,Junkers F-13,5,3,2,5,3,2,0,Stalled after taking off and crashed into houses..,1924,6,0,1,1,0,0,0,4628
United States,US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed.",1924,8,0,1,0,0,0,1,4627
"Cabrerolles, France",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,"While en route the pilot encountered thunderstorms, lost control and crashed.",1924,11,0,1,1,0,0,0,4626
"Goshen, Indiana",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed.",1924,12,0,1,0,0,0,1,4625
"Purley, England",Imperial Airways,de Havilland DH-34B,8,7,1,8,7,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing.",1924,12,0,1,1,1,0,0,4624
"Near Tiflis, Georgia, USSR",Zakavia,Junkers F-13,5,3,2,5,3,2,0,Shortly after take off the plane went out of control and crashed in flames.,1925,3,0,1,1,0,0,0,4623
"Alicante, Spain",Grands Express Aeriens,Breguet 14,3,1,2,3,1,2,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",1925,4,0,1,1,0,0,0,4622
"Landrécies, France",KLM Royal Dutch Airlines,Fokker (KLM)  F.III,4,3,1,4,3,1,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",1925,6,0,1,1,1,1,0,4621
"Alicante, Spain",Grands Express Aeriens,Lioré-et-Olivier LeO H-13,2,0,2,2,0,2,0,While attempting to land the seaplane hit a lightning mast and crashed.,1925,6,0,1,1,0,0,0,4620
"Rosas, Spain",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,0,Crashed in unknown circumstance.,1925,7,0,1,1,0,0,0,4619
"Budapest, Hungary",CIDNA,Potez IX,1,0,1,1,0,1,0,Crashed while attempting to land 10 km from the airport,1925,7,0,1,1,0,0,0,4618
"Caldwell, Ohio",Military - U.S. Navy,Dirigible ZR-1 Shenandoah (airship),43,0,43,14,0,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart. The airship was the first one inflated with helium instead of hydrogen, which may have saved lives since it did not explode when it came apart.",1925,9,1,0,0,0,0,1,4617
"Mt. Nittany, Ohio",US Aerial Mail Service,De Havilland DH-4,1,0,1,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.,1925,10,0,1,1,0,0,0,4616
"Nouadhibou, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,1,0,1,1,0,1,0,The pilot suffered sunstroke lost control of the plane and crashed.,1925,11,0,1,1,0,0,0,4615
"Montpelier, Ohio",US Aerial Mail Service,Curtiss Carrier Pigeon,1,0,1,1,0,1,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",1926,2,0,1,1,0,0,0,4614
"Staaken, Germany",Deutche Lufthansa,Junkers F-13,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.,1926,3,0,1,1,0,0,0,4613
English Channel,Air Union,Breguet 14,1,0,1,1,0,1,0,The mail plane crashed into the English Channel and was never found.,1926,5,0,1,1,0,0,0,4612
"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,Caudron C-61,6,4,2,6,4,2,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,1926,7,0,1,1,0,1,0,4611
"Wolvertem, Belgium",KLM Royal Dutch Airlines,Fokker F7,2,1,1,2,1,1,0,Crashed into the ground while descending in poor weather.,1926,7,0,1,1,0,1,0,4610
"Juist, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,5,4,1,0,Crashed under weather related.circumstances.,1926,7,0,1,1,0,1,0,4609
"Hurst, Kent, England",Air Union,Bleriot 155,15,13,2,3,2,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,1926,8,0,1,0,1,0,0,4608
"Leigh, Kent, Unied Kingdom",Air Union,Bleriot 155,7,5,2,7,5,2,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed..",1926,10,0,1,1,0,0,0,4607
"Bueren, Germany",Deutsche Lufthansa,Fokker FG III,4,3,1,4,3,1,0,Weather related.,1926,10,0,1,0,0,1,0,4606
English Channel,Imperial Airways,Handley Page W-10,12,10,2,0,0,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",1926,10,0,1,0,0,0,1,4605
"Medford, Oregon",Pacific Air Transport,Ryan M-1,1,0,1,1,0,1,0,The postal plane crashed into a mountain slope in foggy conditions.,1926,12,0,1,1,0,0,0,4604
"Rabat, Morocco",Grands Express Aeriens,Breguet 14,1,0,1,1,0,1,0,Unknown.,1927,3,0,1,0,0,0,1,4603
"Tambo, Qld, Australia",Qantas,de Havilland DH-9C,3,2,1,3,2,1,0,"While attempting to land, the engine failed, the aircraft stalled and crashed.",1927,3,0,1,1,0,0,0,4602
"King Hill, Idaho",Varney Air Lines,"Swallow
Swallow",1,0,1,1,0,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,1927,4,0,1,1,0,0,0,4601
"Floh, Germany",Deutsche Lufthansa,Fokker FG III,2,1,1,2,1,1,0,Crashed following engine failure.,1927,4,0,1,1,1,0,0,4600
"Goshen, Indiana",US Aerial Mail Service,Douglas M-4,1,0,1,1,0,1,0,Crashed into a field during a snow storm.,1927,4,0,1,1,0,0,0,4599
"Algiers, Algeria",Air Union,SPCA Meteore 63,3,0,3,1,0,1,0,The three engine seaplane stalled and crashed into the sea shortly after taking off.,1927,5,0,1,1,0,0,0,4598
"Amoneburg, Germany",Deutsche Lufthansa,Junkers F-13,5,3,2,5,3,2,0,Crashed after experiencing engine failure and attempting to make a forced landing.,1927,7,0,1,1,1,0,0,4597
"Sevenoaks, England",KLM Royal Dutch Airlines,Fokker F-VIII,11,9,2,1,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",1927,8,0,1,0,0,0,1,4596
"Willington, Connecticut",Colonial Air Transport,Fokker Universal,1,0,1,1,0,1,0,The postal plane crashed for unknown reasons.,1927,9,0,1,1,0,0,0,4595
"Hadley, New Jersey",Reynolds Airways,Fokker F-VII,12,11,1,7,6,1,0,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.,1927,9,0,1,0,1,0,0,4594
Atlantic Ocean,Private,Fokker F7,3,1,2,3,1,2,0,"While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.",1927,9,0,1,1,0,0,0,4593
"Schleiz, Germany",Deutsche Lufthansa,Dornier Merkur,6,4,2,6,4,2,0,From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.,1927,9,0,1,1,0,0,0,4592
"Thies, Mauritania",Lignes Aeriennes Latecoere,Breguet 14,2,0,2,2,0,2,0,The plane crashed while attempting to land at Dakar.,1927,10,0,1,1,0,0,0,4591
"New Brunswick, New Jersey",Colonial Air Transport,Fairchild FC-2,4,3,1,4,3,1,0,Went into a tailspin and crashed into a corn field about 10 km from the airport.,1927,10,0,1,1,0,0,0,4590
"Strasburg, France",CIDNA,Farman F-121 Jabiru,1,0,1,1,0,1,0,The mail plane crashed shortly after taking off.,1927,11,0,1,1,0,0,0,4589
Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,0,Crashed in the gulf of Finland and never found.,1927,11,0,1,1,0,0,0,4588
"Corunna, Indiana",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,The postal plane crashed at night in poor weather.,1927,11,0,1,1,0,1,0,4587
"Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,A fire erupted aboard the mail plane while en route and crashed.,1927,12,0,1,1,0,0,0,4586
"Near Marseille,France",Latecoere Airlines,Latécoère 23 (flying boat),5,0,5,5,0,5,0,"Suffered structural failure at an altitude of 1,000 ft.",1927,12,0,1,0,1,0,0,4585
"Near Canajoharie, New York",Colonial Western Airlines,Fairchild FC-2,3,1,2,3,1,2,0,Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..,1928,1,0,1,0,0,0,1,4584
"Solis, Uruguay",Aeropostale,Latecoere 25,2,0,2,2,0,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea.,1928,1,0,1,1,0,0,0,4583
"L'Hospitalet, Ariège",Aeropostale,Breguet 14,1,0,1,1,0,1,0,Crashed after experiencing mechanical difficulties.,1928,1,0,1,1,0,0,0,4582
"Tarragona, Spain",Aeropostale,Breguet 14,2,0,2,2,0,2,0,Crashed in unknown circumstances.,1928,1,0,1,1,0,0,0,4581
"Almeria, Spain",Aeropostale,Breguet 14,1,0,1,1,0,1,0,After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.,1928,1,0,1,0,0,0,1,4580
"Marquette, Nebraska",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,0,The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.,1928,2,0,1,1,0,0,0,4579
"Off Cape Griz Nez, France",Air Union,Farman F-60 Goliath,2,0,2,2,0,2,0,Crashed into the sea while delivering mail in poor weather.,1928,3,0,1,1,0,1,0,4578
"Federal, Wyoming",Boeing Air Transport,Boeing 40,2,1,1,1,1,0,0,Spatial disorientation after entering a snowstorm.,1928,4,0,1,0,0,0,1,4577
"Minuesa, Spain",Iberia Airlines,Rohrbach Roland,9,7,2,9,7,2,0,Crashed into a field after getting lost in fog.,1928,4,0,1,1,0,0,0,4576
"Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil",Aeropostale,Latecoere 26,5,3,2,1,1,0,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,1928,5,0,1,0,0,0,1,4575
"Dearborn, Minnesota",Ford Air Freight Inc.,Ford 4,2,0,2,2,0,2,0,The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.,1928,5,0,1,1,0,0,0,4574
"Radevormwald, Germany",Deutsche Lufthansa,Junkers F-13,5,4,1,3,2,1,0,"After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.",1928,5,0,1,1,0,0,0,4573
"Frankfurt, Germany",Deutsche Lufthansa,AEGK,5,4,1,5,4,1,0,"The ""Viper"" crashed for unknown reasons.",1928,6,0,1,1,0,0,0,4572
"Lebo, Kansas",National Air Transport,Douglas M-4,1,0,1,1,0,1,0,The mail plane flew into tornado like winds and crashed in a field.,1928,6,0,1,1,0,0,0,4571
Over the Gulf of Finland,Aero O-Y,Junkers F-13,6,4,2,6,4,2,0,Crashed under unknown circumstances,1928,7,0,1,1,0,0,0,4570
"Purley, England",Imperial Airways,Vickers 74 Vulcan,6,5,1,4,4,0,0,"After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.",1928,7,0,1,1,0,0,0,4569
"Waalhaven, Netherlands",KLM Royal Dutch Airlines,Fokker (KLM) F.III,6,5,1,1,1,0,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.",1928,7,0,1,1,0,0,0,4568
"Near Port Townsend, BC, Canada",British Columbia Airways,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,0,Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.,1928,8,0,1,1,0,0,0,4567
"Toul, France",CIDNA,Bleriot Spad 33,5,2,3,5,2,3,0,"After taking off the engine failed, the plane stalled and crashed.",1928,9,0,1,1,0,0,0,4566
"Adelaide Hills, Australia",Qantas,de Havilland DH.50J,2,0,2,1,0,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.",1928,9,0,1,1,0,1,0,4565
"Pocatello, Idaho",National Parks Airways,Fokker Super Universal,7,6,1,7,6,1,0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.",1928,9,0,1,1,0,0,0,4564
"Heroldbach, Germany",Deutsche Lufthansa,Fokker FG III,3,2,1,3,2,1,0,Crashed due to engine failure.,1928,9,0,1,1,1,0,0,4563
"Gerona, Spain",Aeropostale,Breguet 14,3,2,1,3,2,1,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,",1928,10,0,1,1,0,0,0,4562
